date,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Süd.in,Frankfurt(Main)Süd.out,Hannover_Hbf.in,Hannover_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,4.0,4.0,9.0,14.0,37.0,37.0,44.0,43.0,42.0,50.0,50.0,-1.0,-1.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,8.0,9.0,12.0,11.0,14.0,-1.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,-1.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,5.0,-1.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,7.0,4.0,3.0,5.0,5.0,6.0,-1.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,7.0,3.0,2.0,2.0,2.0,1.0,-1.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,-1.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,-1.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,8.0,8.0,5.0,4.0,4.0,5.0,3.0,-1.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,-1.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.0,9.0,13.0,10.0,10.0,9.0,8.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,7.0,6.0,7.0,7.0,8.0,-1.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,35.0,26.0,25.0,27.0,26.0,31.0,-1.0
2024-04-11,0.0,0.0,0.0,0.0,52.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,33.0,33.0,83.0,83.0,85.0,86.0,85.0,86.0,81.0,80.0,80.0,78.0,77.0,-1.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,-1.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,10.0,6.0,7.0,9.0,9.0,36.0,37.0,46.0,46.0,49.0,-1.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,2.0,1.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,23.0,23.0,23.0,24.0,24.0,22.0,24.0,47.0,46.0,47.0,47.0,45.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,6.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.0,20.0,20.0,18.0,18.0,21.0,21.0,20.0,21.0,19.0,18.0,19.0,19.0,18.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
