date,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Bützow.in,Bützow.out,Rostock_Hbf.in,Rostock_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Velgast.in,Velgast.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out
2024-04-27,-1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,-1.0,0.0,0.0
2024-04-25,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,-1.0
2024-04-24,-1.0,13.0,0.0,0.0,18.0,19.0,18.0,20.0,24.0,27.0,27.0,26.0,25.0,25.0,24.0,24.0,26.0,-1.0
2024-04-23,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-22,-1.0,4.0,0.0,0.0,10.0,10.0,7.0,6.0,4.0,17.0,18.0,17.0,20.0,21.0,21.0,21.0,22.0,-1.0
2024-04-21,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,0.0,0.0
2024-04-19,-1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-18,-1.0,24.0,0.0,0.0,22.0,22.0,18.0,21.0,24.0,25.0,24.0,23.0,24.0,24.0,21.0,22.0,22.0,-1.0
2024-04-17,-1.0,9.0,0.0,0.0,8.0,8.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,11.0,0.0,0.0,13.0,13.0,8.0,8.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-12,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,7.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-09,-1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-08,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0
2024-04-07,-1.0,16.0,0.0,0.0,14.0,15.0,15.0,14.0,12.0,10.0,17.0,15.0,19.0,20.0,17.0,16.0,17.0,-1.0
2024-04-05,-1.0,10.0,0.0,0.0,7.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,6.0,5.0,3.0,2.0,1.0,4.0,4.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-02,-1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0
2024-04-01,-1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,-1.0
