date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out
2024-04-15,-1.0,0.0,4.0,3.0,2.0,-1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,1.0,1.0,3.0,2.0,11.0,11.0,11.0,-1.0
2024-04-13,-1.0,5.0,-1.0,0.0,11.0,10.0,4.0,4.0,0.0,0.0,1.0,-1.0
2024-04-12,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,-1.0
2024-04-11,-1.0,1.0,-1.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-10,-1.0,1.0,4.0,3.0,6.0,6.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-09,-1.0,0.0,9.0,7.0,11.0,11.0,3.0,3.0,0.0,0.0,1.0,-1.0
2024-04-08,-1.0,0.0,-1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,-1.0,0.0,2.0,2.0,16.0,16.0,18.0,18.0,22.0,-1.0
2024-04-05,-1.0,0.0,-1.0,0.0,5.0,4.0,17.0,18.0,19.0,20.0,18.0,-1.0
2024-04-04,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-03,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,-1.0
