date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-12,-1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-11,-1.0,1.0,1.0,0.0,0.0,0.0,22.0,22.0,-1.0,0.0,18.0,17.0,31.0,29.0,0.0,0.0,0.0,0.0,29.0,29.0,35.0,34.0,34.0,34.0,38.0,-1.0
2024-04-10,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,9.0,27.0,27.0,28.0,-1.0
2024-04-08,-1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,10.0,10.0,10.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.0,-1.0
2024-04-07,-1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
