date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Heppenheim(Bergstr).in,Heppenheim(Bergstr).out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-06,-1.0,3.0,-1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,3.0,0.0,1.0,0.0,1.0,6.0,5.0,6.0,6.0,2.0,1.0,4.0,-1.0
2024-05-02,-1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,-1.0
2024-05-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-30,-1.0,3.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,5.0,3.0,2.0,1.0,-1.0
2024-04-29,-1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,4.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-1.0
2024-04-24,-1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-22,-1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,5.0,0.0,1.0,0.0,0.0,5.0,4.0,5.0,5.0,3.0,-1.0,15.0,-1.0
2024-04-18,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,-1.0
2024-04-17,-1.0,25.0,24.0,26.0,22.0,22.0,29.0,28.0,21.0,21.0,29.0,27.0,32.0,-1.0
2024-04-16,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,-1.0
2024-04-15,-1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0,1.0,0.0,-1.0
2024-04-11,-1.0,3.0,0.0,1.0,0.0,0.0,49.0,48.0,49.0,48.0,46.0,46.0,-1.0,-1.0
2024-04-10,-1.0,7.0,1.0,1.0,1.0,0.0,16.0,16.0,16.0,15.0,18.0,19.0,21.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,15.0,-1.0
2024-04-08,-1.0,4.0,0.0,1.0,1.0,2.0,10.0,10.0,11.0,10.0,7.0,7.0,6.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,10.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-04,-1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,-1.0
2024-04-03,-1.0,10.0,12.0,12.0,15.0,15.0,6.0,5.0,13.0,13.0,14.0,13.0,14.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,-1.0
