date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Eisenach.in,Eisenach.out,Jena_Paradies.in,Jena_Paradies.out,Bitterfeld.in,Bitterfeld.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Neu-Ulm.in,Neu-Ulm.out,Ulm_Hbf.in,Ulm_Hbf.out,Günzburg.in,Günzburg.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-19,-1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,7.0,0.0,0.0,11.0,10.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,47.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,44.0,46.0,43.0,38.0,23.0,24.0,0.0,0.0,20.0,20.0,20.0,20.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-16,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,39.0,38.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,0.0,31.0,29.0,28.0,25.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,1.0,11.0,0.0,0.0,9.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,9.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,8.0,6.0,0.0,0.0,23.0,22.0,22.0,19.0,17.0,18.0,16.0,16.0,12.0,13.0,0.0,0.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,93.0,92.0,91.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,130.0,0.0,0.0,126.0,124.0,0.0,0.0,102.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-13,-1.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,5.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,0.0,0.0,47.0,45.0,0.0,0.0,31.0,30.0,30.0,27.0,20.0,20.0,-1.0,-1.0,19.0,16.0,0.0,0.0,22.0,22.0,22.0,20.0,21.0,23.0,24.0,23.0,21.0,-1.0
2024-05-11,-1.0,5.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,30.0,36.0,36.0,-1.0,-1.0,28.0,25.0,0.0,0.0,28.0,29.0,27.0,26.0,26.0,30.0,24.0,23.0,23.0,-1.0
2024-05-10,-1.0,1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,54.0,55.0,0.0,0.0,55.0,52.0,54.0,50.0,41.0,41.0,2.0,2.0,25.0,8.0,7.0,7.0,2.0,1.0,0.0,0.0,7.0,6.0,11.0,11.0,32.0,34.0,31.0,31.0,30.0,-1.0
2024-05-08,-1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,34.0,35.0,0.0,0.0,31.0,29.0,26.0,23.0,15.0,3.0,3.0,1.0,0.0,0.0,0.0,51.0,47.0,47.0,0.0,0.0,42.0,42.0,39.0,39.0,70.0,70.0,69.0,68.0,67.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,55.0,55.0,0.0,0.0,54.0,53.0,58.0,55.0,49.0,0.0,1.0,1.0,34.0,1.0,32.0,31.0,29.0,34.0,0.0,0.0,27.0,28.0,29.0,29.0,33.0,33.0,32.0,31.0,30.0,-1.0
2024-05-06,-1.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,41.0,40.0,0.0,0.0,50.0,51.0,0.0,0.0,49.0,46.0,50.0,46.0,40.0,36.0,36.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,10.0,9.0,34.0,36.0,33.0,32.0,31.0,-1.0
2024-05-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-03,-1.0,10.0,10.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,60.0,0.0,0.0,55.0,50.0,0.0,0.0,47.0,44.0,46.0,42.0,40.0,40.0,41.0,40.0,40.0,39.0,0.0,0.0,31.0,31.0,27.0,26.0,35.0,48.0,48.0,46.0,46.0,-1.0
2024-05-02,-1.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,44.0,43.0,39.0,31.0,30.0,28.0,29.0,28.0,27.0,0.0,0.0,19.0,19.0,16.0,16.0,44.0,44.0,47.0,47.0,45.0,-1.0
2024-05-01,-1.0,17.0,15.0,20.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,8.0,3.0,0.0,0.0,14.0,13.0,13.0,13.0,6.0,6.0,9.0,8.0,7.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,43.0,0.0,0.0,49.0,45.0,44.0,40.0,38.0,37.0,40.0,39.0,72.0,79.0,0.0,0.0,71.0,70.0,66.0,64.0,63.0,64.0,64.0,63.0,62.0,-1.0
2024-04-29,-1.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,5.0,3.0,3.0,2.0,-1.0
2024-04-28,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-27,-1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,7.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,8.0,20.0,0.0,0.0,22.0,18.0,17.0,13.0,7.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,9.0,9.0,5.0,4.0,1.0,2.0,2.0,2.0,0.0,-1.0
2024-04-25,-1.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,48.0,43.0,0.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,32.0,31.0,0.0,0.0,30.0,31.0,26.0,28.0,27.0,26.0,33.0,33.0,30.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,25.0,28.0,31.0,26.0,24.0,24.0,24.0,25.0,24.0,0.0,0.0,19.0,18.0,16.0,15.0,13.0,14.0,14.0,13.0,11.0,-1.0
2024-04-23,-1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,9.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,74.0,70.0,74.0,74.0,80.0,81.0,79.0,80.0,106.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-22,-1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,13.0,5.0,0.0,0.0,9.0,8.0,5.0,5.0,3.0,4.0,3.0,2.0,1.0,-1.0
2024-04-21,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,161.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-18,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,8.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,22.0,22.0,18.0,17.0,17.0,17.0,32.0,31.0,29.0,-1.0
2024-04-17,-1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,49.0,48.0,47.0,47.0,47.0,25.0,24.0,0.0,0.0,-1.0,-1.0,23.0,24.0,37.0,37.0,0.0,0.0,33.0,31.0,-1.0,-1.0,35.0,33.0,-1.0,-1.0,18.0,17.0,15.0,14.0,11.0,10.0,0.0,0.0,6.0,6.0,2.0,1.0,4.0,6.0,15.0,15.0,13.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,62.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0
2024-04-13,-1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,106.0,97.0,94.0,90.0,92.0,92.0,90.0,90.0,53.0,2.0,13.0,13.0,15.0,13.0,12.0,11.0,9.0,9.0,10.0,10.0,13.0,-1.0
2024-04-12,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,10.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,0.0,0.0,22.0,20.0,17.0,18.0,57.0,52.0,49.0,47.0,58.0,59.0,54.0,54.0,16.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,6.0,-1.0
2024-04-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-10,-1.0,12.0,13.0,14.0,14.0,11.0,0.0,0.0,0.0,0.0,11.0,13.0,13.0,13.0,12.0,11.0,12.0,11.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,6.0,45.0,-1.0,-1.0,202.0,202.0,160.0,160.0,191.0,192.0,191.0,191.0,162.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,39.0,28.0,30.0,52.0,50.0,52.0,49.0,46.0,45.0,42.0,43.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,21.0,19.0,20.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,26.0,27.0,26.0,81.0,81.0,0.0,0.0,-1.0,-1.0,0.0,0.0,21.0,21.0,0.0,0.0,18.0,23.0,-1.0,-1.0,218.0,215.0,-1.0,-1.0,200.0,199.0,235.0,236.0,256.0,210.0,-1.0,-1.0,188.0,186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,8.0,4.0,8.0,8.0,5.0,5.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
