date,Haiger.in,Haiger.out,Dillenburg.in,Dillenburg.out,Herborn(Dillkr).in,Herborn(Dillkr).out,Wetzlar.in,Wetzlar.out,Bad_Nauheim.in,Bad_Nauheim.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-29,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,0.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-25,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,-1.0
2024-04-23,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,-1.0,-1.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-19,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,9.0,-1.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,0.0,16.0,16.0,16.0,15.0,15.0,15.0,16.0,17.0,11.0,11.0,12.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
2024-04-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-08,0.0,0.0,0.0,11.0,12.0,11.0,15.0,14.0,14.0,13.0,8.0,6.0,8.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,0.0,23.0,22.0,22.0,21.0,0.0,0.0,13.0,13.0,13.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,3.0,3.0,4.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
