date,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln/Bonn_Flughafen.in,Köln/Bonn_Flughafen.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-22,-1.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,7.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-18,-1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,6.0,3.0,5.0,5.0,-1.0
2024-04-17,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,0.0,0.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-16,-1.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,7.0,18.0,18.0,38.0,40.0,0.0,0.0,38.0,38.0,39.0,39.0,38.0,39.0,38.0,33.0,37.0,38.0,35.0,37.0,42.0,-1.0
2024-04-15,-1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,4.0,0.0,0.0,1.0,22.0,23.0,22.0,22.0,23.0,21.0,17.0,15.0,15.0,12.0,12.0,10.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-08,-1.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,8.0,9.0,10.0,9.0,0.0,0.0,4.0,6.0,7.0,7.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,-1.0
2024-04-04,-1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,3.0,-1.0
2024-04-03,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-02,-1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
